Company,Company Path,Country,Industry,Earnings,Employees,Marketcap,Net-Assets,Operating-Margin,Pe-Ratio,Ps-Ratio,Revenue,Total-Assets,Total-Debt,Total-Liabilities
Saipem,https://companiesmarketcap.com/saipem,Italy,Oil&Gas,-1820000000,29437,5070000000,2330000000,-0.0162,-0.4816,0.5776,8720000000,14010000000,3640000000,11670000000
Sasol,https://companiesmarketcap.com/sasol,South Africa,Oil&Gas,550000000,28657,5620000000,10740000000,0.2014,2.01,0.3716,15350000000,23130000000,7490000000,12390000000
Duke Energy,https://companiesmarketcap.com/duke-energy,USA,Oil&Gas,7780000000,27859,73200000000,50180000000,0.1478,67.1,2.53,29060000000,1.7689E+11,80450000000,1.267E+11
Southern Company,https://companiesmarketcap.com/southern-company,USA,Oil&Gas,4340000000,27423,74980000000,35220000000,0.1259,25,3.01,25250000000,1.3933E+11,63490000000,1.041E+11
Oil & Natural Gas,https://companiesmarketcap.com/oil-and-natural-gas,India,Oil&Gas,9180000000,27165,40000000000,40510000000,0.0775,8.98,0.5301,77520000000,80570000000,17280000000,40060000000
Pacific Gas and Electric,https://companiesmarketcap.com/pacific-gas-and-electric,USA,Oil&Gas,690000000,26010,35490000000,25290000000,0.021,18.1,1.44,24420000000,1.2569E+11,57730000000,1.004E+11
MOL Group,https://companiesmarketcap.com/molgroup,Hungary,Oil&Gas,2290000000,24955,6530000000,11300000000,0.1016,3.71,0.2567,25740000000,21690000000,3020000000,10390000000
Repsol,https://companiesmarketcap.com/repsol,Spain,Oil&Gas,6470000000,23770,20490000000,32130000000,0.0955,5.3,0.2468,81170000000,68140000000,11670000000,36000000000
Equinor,https://companiesmarketcap.com/equinor,Norway,Oil&Gas,37880000000,21936,82590000000,48500000000,0.5275,5.08,0.7735,1.0684E+11,1.4358E+11,31790000000,95080000000
CNOOC,https://companiesmarketcap.com/cnooc,China,Oil&Gas,28030000000,21245,1.2226E+11,89980000000,,16.3,1.93,65480000000,1.4239E+11,16810000000,52400000000
Centrica,https://companiesmarketcap.com/centrica,UK,Oil&Gas,-470000000,20590,8870000000,6200000000,,-7.51,0.2396,28770000000,28260000000,5410000000,22050000000
OMV,https://companiesmarketcap.com/omv,Austria,Oil&Gas,5430000000,20336,15590000000,26970000000,0.1471,9.21,0.3587,42830000000,53460000000,10060000000,26480000000
TechnipFMC,https://companiesmarketcap.com/technipfmc,UK,Oil&Gas,320000000,20301,11300000000,3170000000,0.0207,-382,1.47,7820000000,9650000000,1960000000,6480000000
Ecopetrol,https://companiesmarketcap.com/ecopetrol,Colombia,Oil&Gas,10940000000,18903,24050000000,21460000000,0.3419,4.37,0.7135,34770000000,67270000000,25060000000,45800000000
Weatherford International,https://companiesmarketcap.com/weatherford-international,USA,Oil&Gas,500000000,18500,8500000000,920000000,0.0737,24.9,1.7,5130000000,5060000000,2060000000,4140000000
Marathon Petroleum,https://companiesmarketcap.com/marathon-petroleum,USA,Oil&Gas,15250000000,17800,75220000000,31390000000,0.114,7.89,0.5155,1.4837E+11,85980000000,28500000000,54580000000
Suncor Energy,https://companiesmarketcap.com/suncor-energy,Canada,Oil&Gas,8900000000,16558,48500000000,30770000000,0.2111,11.3,1.29,38430000000,62900000000,11360000000,32130000000
DCC plc,https://companiesmarketcap.com/dcc-plc,Ireland,Oil&Gas,530000000,16000,6850000000,3780000000,,18.7,0.2069,27500000000,12190000000,3220000000,8400000000
Tōkyō Gas,https://companiesmarketcap.com/tokyo-gas,Japan,Oil&Gas,2440000000,15963,10020000000,12060000000,0.1046,4.62,0.4874,20550000000,27670000000,9400000000,15610000000
Sempra Energy,https://companiesmarketcap.com/sempra-energy,USA,Oil&Gas,2620000000,15785,43450000000,33650000000,0.1276,17.5,2.62,16720000000,87180000000,31070000000,53520000000
